x,y,dem,aspect,slope,slope_main,drainage,hillshade,twi,dist_river,soil_type,landuse,label
366655.443814559,3096791.8904585238,1546.8097,82.371506,32.204803,32.204803,8.0,75.86113,6.729151,64.89664,3.0,135.0,0
355832.1829598237,3106104.578828813,3272.1118,41.1514,34.576603,34.576603,1.0,132.57985,11.793517,119.66348,4.0,135.0,1
362672.87953172956,3099284.472842355,1995.6552,193.46887,16.915712,16.915712,5.0,207.07872,8.5408125,145.11328,3.0,135.0,1
361377.41054044483,3092949.626817671,2722.1675,144.69878,35.565166,35.565166,6.0,113.44852,6.2762055,586.94696,3.0,0.0,0
395301.6270487685,3079026.038705636,2381.8528,124.92669,28.34494,28.34494,6.0,48.752533,9.38508,1120.2896,4.0,5897.0,1
367485.1705474719,3081578.2159800376,2296.1306,78.45329,34.646496,34.646496,2.0,216.10925,10.539141,663.0899,2.0,0.0,0
381350.04740159295,3108969.501639905,3359.2324,153.67064,32.338367,32.338367,4.0,128.6426,11.514771,312.5836,4.0,135.0,1
391865.4757294903,3077144.4102910473,1685.6663,115.209656,41.3449,41.3449,7.0,57.386215,7.33075,778.7596,3.0,5676.0,0
371920.7627404527,3094400.319886113,3324.559,233.85844,32.38743,32.38743,2.0,237.97952,8.146756,930.5372,4.0,0.0,0
379103.7681056323,3062826.6093428163,1395.0769,105.18182,22.544641,22.544641,6.0,105.61483,9.009262,1482.4302,1.0,0.0,0
396909.11446433514,3077009.0274971463,2384.328,116.22487,38.613888,38.613888,7.0,50.156784,8.67164,583.34814,3.0,5897.0,1
359661.4148606406,3115238.7576390463,5186.429,142.03941,47.68935,47.68935,5.0,56.845375,7.1908965,1005.7931,5.0,135.0,0
353890.7880823416,3084622.0128226397,1566.5249,233.5748,16.825846,16.825846,4.0,232.71843,9.274003,817.8006,1.0,0.0,0
362074.28393350705,3096031.0381823443,2687.982,105.77919,47.44831,47.44831,7.0,13.890559,8.518997,183.5554,4.0,0.0,0
358639.0138571248,3069967.199405468,899.1302,120.54204,4.734518,4.734518,7.0,175.10806,2.9254084,29.022657,1.0,4782.0,0
389493.8646526117,3091901.299505748,3181.2107,111.4488,29.438744,29.438744,6.0,25.574139,5.8929334,743.3427,4.0,5897.0,0
393748.685671388,3061204.73805962,2039.9084,194.61365,6.071979,6.071979,4.0,189.5972,16.35964,29.022657,3.0,0.0,0
379701.8308213382,3061869.340902098,1321.196,159.77281,23.477402,23.477402,4.0,167.30666,4.268002,754.5891,1.0,0.0,0
388751.8292004579,3071387.4826710965,855.4741,108.67701,25.712442,25.712442,7.0,87.50401,7.159623,226.67421,2.0,7108.0,1
402430.9493908151,3081474.736870352,3154.0942,164.82802,36.051537,36.051537,4.0,168.01901,5.5575457,145.11328,4.0,5897.0,1
379599.9861690474,3083926.9129000776,1632.4873,184.5952,25.304218,25.304218,4.0,205.9633,11.197595,0.0,3.0,0.0,0
371222.18466274004,3083096.006127235,2794.8672,102.86798,40.865635,40.865635,7.0,30.691488,11.120715,583.34814,4.0,0.0,0
355512.4913620361,3108630.733177356,4350.485,118.86988,42.056995,42.056995,6.0,36.807007,6.840854,1234.0603,6.0,135.0,1
389341.72661458387,3093621.05970122,3350.3997,87.48975,39.007023,39.007023,8.0,38.110073,5.4234858,211.28813,4.0,5897.0,0
354785.93976237514,3109805.450528974,4824.459,24.909456,48.384487,48.384487,1.0,157.32721,5.5983815,1601.2513,6.0,135.0,0
367623.9982298713,3104583.435683626,2680.4888,97.556694,45.145363,45.145363,7.0,7.143851,7.5060678,205.22118,4.0,135.0,0
352249.425427041,3095725.6559022465,3307.8716,38.32811,12.984013,12.984013,7.0,171.50732,8.2417555,285.84003,4.0,135.0,0
397519.7275666948,3079134.3255700665,3103.4685,171.37396,17.08105,17.08105,4.0,186.73367,5.128298,1716.2676,4.0,5897.0,0
363875.41733874625,3105866.3960348004,3917.9092,112.78165,54.839573,54.839573,7.0,1.0,7.0667567,1692.2972,6.0,135.0,1
394030.82853089017,3100587.5693546683,4386.1147,121.63172,26.43098,26.43098,6.0,98.25259,7.4073114,725.5664,6.0,5897.0,0
386916.87237644265,3071564.069880039,1152.8914,124.49938,36.062035,36.062035,6.0,57.63282,5.410015,932.79736,2.0,0.0,0
385942.7653190453,3081294.6114376555,2496.9888,103.445244,22.421864,22.421864,7.0,105.67262,9.593195,467.9763,4.0,0.0,0
398060.2995016167,3097413.275399149,2681.3528,83.42799,35.232258,35.232258,7.0,89.74092,6.9592566,145.11328,0.0,5897.0,1
360379.52143073495,3101416.0877777343,2876.7524,84.20293,45.156406,45.156406,7.0,15.675584,5.8659697,1248.3118,4.0,135.0,1
368424.6708760237,3090565.3004759285,1781.5488,105.75196,26.149096,26.149096,7.0,85.68815,7.866274,586.94696,3.0,0.0,1
369549.22316037235,3112129.7626737845,4710.5986,121.420876,38.726414,38.726414,6.0,57.310764,7.3308535,1097.1179,6.0,135.0,0
360721.20116307196,3094116.663327108,2665.3667,171.68112,31.734217,31.734217,5.0,180.07164,7.8463087,545.2862,3.0,0.0,1
379543.7359850347,3096450.203983805,2362.452,95.66344,41.553143,41.553143,7.0,24.916058,13.336174,389.3798,4.0,135.0,1
375571.09028618765,3111154.7465747707,3954.054,94.15841,29.768238,29.768238,7.0,61.027218,6.1186404,156.2918,6.0,135.0,1
377368.80893666565,3088099.552818353,1716.4033,135.7107,47.619904,47.619904,5.0,53.796757,9.141949,259.58655,3.0,0.0,1
363213.28561100183,3112534.6827320876,4915.5137,173.1852,29.77244,29.77244,5.0,187.56596,4.809471,2170.6929,6.0,135.0,0
362783.0675819674,3101254.5156199974,2676.7417,179.66905,32.768906,32.768906,4.0,197.33301,9.198294,991.8787,4.0,135.0,0
384098.4865219124,3111620.5323131955,4997.1753,65.02616,57.47133,57.47133,8.0,30.696896,9.097125,909.0163,6.0,135.0,0
354111.0597934324,3086010.101535043,1409.8362,166.17982,32.963875,32.963875,5.0,168.80057,4.749152,349.47906,2.0,0.0,1
352052.83231984044,3096009.112854014,3179.6265,32.22318,35.82858,35.82858,1.0,148.80856,5.5618486,637.17786,4.0,135.0,0
351906.3840970096,3075431.552831764,1403.3126,27.9325,18.247492,18.247492,1.0,194.52307,15.018563,29.022657,1.0,0.0,0
393136.0150851106,3088382.958816391,1961.102,163.9979,44.63724,44.63724,5.0,142.14134,7.0000277,209.28535,3.0,5897.0,1
393958.6799604404,3075047.247860789,1746.5374,121.3137,38.639053,38.639053,6.0,57.0941,7.5205917,1366.8408,3.0,5897.0,1
371463.0958417979,3083299.4625385185,2660.7935,79.54064,41.108875,41.108875,8.0,39.72581,10.918229,291.67407,4.0,0.0,0
403457.87558542285,3070582.3944675536,3004.5144,182.1453,47.58859,47.58859,4.0,195.13364,8.119777,183.5554,4.0,5897.0,1
369118.6259599197,3074300.2475052127,1144.6357,102.70607,23.119307,23.119307,7.0,77.95829,5.9895763,338.4594,1.0,0.0,0
356363.0944426279,3108910.7961378754,4089.0261,67.63959,35.688625,35.688625,8.0,80.28402,7.368235,667.5211,6.0,135.0,1
361259.78325407166,3109049.8857942186,3913.44,99.61622,35.20814,35.20814,7.0,71.16664,8.954895,501.00873,5.0,135.0,0
390299.1682755476,3101884.5294545074,4546.814,118.990875,44.018127,44.018127,6.0,34.00386,12.629591,2230.2168,6.0,5897.0,0
397933.6573997326,3088911.5734636127,2518.9346,2.0845723,29.247677,29.247677,2.0,217.73834,7.737335,1209.587,3.0,5897.0,0
375700.36443836725,3082629.727238335,1500.7026,116.283,60.859486,60.859486,5.0,1.0,8.518667,501.00873,3.0,0.0,1
382174.3480886512,3109454.6406676862,3929.368,114.62617,50.79237,50.79237,7.0,1.7942921,9.069593,670.04004,6.0,135.0,1
349402.6308325837,3109198.808172124,4967.882,167.88852,38.92122,38.92122,5.0,164.15068,6.8228655,3921.497,6.0,135.0,0
360414.34374535165,3098619.221750411,2911.1487,124.96845,34.573467,34.573467,6.0,83.922676,13.81888,2085.7983,4.0,135.0,0
372378.5893645051,3100111.10937747,2961.3838,121.4736,54.621788,54.621788,6.0,1.0,8.519669,313.92804,4.0,135.0,1
350787.6780209081,3108493.7967897286,4947.7197,154.09074,57.093155,57.093155,6.0,79.96155,9.029493,2772.3855,6.0,135.0,0
357734.49824607465,3110964.6595199862,3939.9458,114.86057,56.61237,56.61237,7.0,1.0,10.181444,233.98814,6.0,135.0,1
377125.82818128826,3092806.662661839,2841.8794,91.40744,45.20206,45.20206,7.0,14.90643,7.677441,925.5453,4.0,0.0,1
355599.9679798795,3105291.675982101,3348.0308,65.6466,3.2141345,3.2141345,8.0,157.23965,11.437386,781.4589,4.0,135.0,1
353879.99753106566,3100786.6389789563,3127.1294,109.83115,51.000282,51.000282,7.0,1.1730111,9.72785,501.00873,4.0,135.0,0
365186.7939946917,3103919.865370821,2841.3787,36.7095,51.11193,51.11193,1.0,108.97833,7.9999976,1826.5839,4.0,135.0,1
372037.26691992936,3087376.102128147,3082.0745,200.84488,63.00025,63.00025,4.0,229.86903,9.20116,620.43353,4.0,0.0,0
388174.99293392815,3076883.9976813435,1500.586,14.92533,35.958694,35.958694,2.0,193.64919,6.581013,878.385,3.0,0.0,0
361942.3362118899,3083578.077219579,1011.1603,92.42106,22.224728,22.224728,7.0,102.384964,9.963681,211.28813,1.0,0.0,0
355495.3738140175,3105945.4064327604,3708.172,56.435287,51.12611,51.12611,1.0,39.606728,7.683691,415.54123,6.0,135.0,1
404020.05850000144,3070457.3900854504,3014.1255,149.0247,64.251015,64.251015,5.0,48.656754,4.857533,147.98709,4.0,5897.0,1
395712.76204920484,3097976.1451796712,3418.2222,140.0531,34.874924,34.874924,5.0,91.82655,13.608194,923.7233,4.0,5897.0,0
368835.32849989354,3098283.928269967,2359.1187,100.57973,54.82367,54.82367,6.0,1.0,5.5677342,513.46326,3.0,135.0,1
381407.6279661638,3110708.869925808,3893.541,122.272224,66.60181,66.60181,6.0,1.0,8.15409,2020.9857,6.0,135.0,1
369512.4226618952,3105132.5785314864,3427.3308,113.24857,44.064697,44.064697,6.0,24.144388,12.063223,308.51508,4.0,135.0,1
400167.2490851556,3075504.561284219,1810.946,159.0569,47.85276,47.85276,5.0,135.08763,8.2357,156.2918,3.0,5897.0,1
394293.96408944455,3089225.698357451,1608.928,16.376936,13.795247,13.795247,1.0,191.4927,5.7029986,574.6193,3.0,5897.0,0
355516.8403772115,3104027.418824076,2908.4558,124.30776,38.50136,38.50136,6.0,57.39836,9.267347,519.1731,4.0,135.0,1
404116.16752890236,3070480.93035678,3147.8381,139.29762,59.820095,59.820095,6.0,18.8061,8.77196,164.17694,4.0,5897.0,1
357796.3883788131,3111303.185947923,4352.2583,69.01493,47.416595,47.416595,8.0,32.5987,9.544991,313.92804,6.0,135.0,1
370696.7407457065,3068187.678495344,1050.455,136.55676,39.10654,39.10654,6.0,84.461784,6.0319195,232.18126,2.0,0.0,0
